N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
5355,2023-04-24,Ayacucho,Gamaniel Rojas Laurente,Corresponsal de Ondas del Huallaga,Dirección Regional de Energía y Minas de Huánuco,,"Desde la provincia de Leoncio Prado, mencionó que hoy se desarrollará una movilización en el distrito de Hermilio Valdizán donde una empresa minera canadiense viene realizando trabajos de prospección a través de terceros, pese a la ordenanza emitida por la municipalidad distrital que declara como distrito turístico, agroindustrial y ecológico a Hermilio Valdizán. Así mismo, mencionó que mañana 25 de abril varios frentes de defensa brindarán una conferencia de prensa donde anunciarán la radicalización de las medidas de fuerza contra las concesiones mineras que estarían por operar en Tingo María. Finalmente, señaló que se tiene conocimiento que dentro de la Dirección Regional de Energía y Minas de Huánuco existiría una organización criminal que serían los que están promoviendo las actividades mineras en la provincia de Leoncio Prado, y a ello se suma ciertos personajes aliados al gobernador Antonio Pulgar que estarían incitando u obligando a los directores regiones de Energía y Minas autorizar concesiones mineras.",Naranja,Minería,,1.0,,,,,,,,,,,,
5356,2023-04-24,Ayacucho,Jaime Herrera,Periodista,,,"Informó que las regiones de Cajamarca, Tumbes, Lambayeque y Piura, que fueron las más afectadas por lluvias, sacaron a gerentes claves que pudieron enfrentar la crisis.",Gris,Gobierno Regional,,,,,,,,,,,,,,
5357,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Defensoría del Pueblo,,Mencionó que la Defensoría del Pueblo advirtió carencia de medicamentos en la Dirección Regional de Salud de Huánuco.,Gris,Salud,,,,,,1.0,,,,,,,,
5358,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Roger Hidalgo,Alcalde del distrito de Amarilis,"Comentó que el alcalde del distrito de Amarilis, Roger Hidalgo, manifestó que no tolerará actos de corrupción en la Municipalidad Distrital de Amarilis.",Gris,Corrupción,,,,,,1.0,,,,,,,,
5359,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Rolin Cruz,Director regional de Salud de Huánuco,"Reveló que sindicatos de trabajadores del sector salud protestaron contra amenaza de despidos, por lo que pidieron la renuncia del director regional de Salud de Huánuco, Rolin Cruz.",Gris,Salud,,,,,,1.0,,,,,,,,
5360,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Walter López Tucto,Jefe zonal de Agrorural,"Informó que solo 13 distritos altoandinos fueron beneficiados por Agrorural con kits de aplicación foliar, fitotoldos y cobertizos para el ganado con el objetivo de reducir la vulnerabilidad ante riesgos y desastres. Al respecto, mencionó que el jefe zonal de Agrorural, Walter López Tucto, señaló que este reducido número se debe a la incapacidad de gestión de las autoridades ediles.",Celeste,Programa social,,,,,,1.0,,,,,,,,
5361,2023-04-24,Ayacucho,Jaime Herrera,Periodista,,,"Mencionó que alrededor de 200 hectáreas de cultivos de arroz resultaron afectadas por las inundaciones causadas por el desborde del río Megote a causa de las fuertes lluvias, en el centro poblado de Paraíso, en el distrito de Cholón, provincia de Marañón.",Gris,Agropecuario,,,,,,1.0,,,,,,,,
5362,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Ministerio de Energía y Minas,,"Informó que las regiones de Lima, Huancavelica, Junín y Huánuco generaron el 81% de electricidad que se usa en todo el país, según reveló el Ministerio de Energía y Minas.",Gris,Electrificación Rural,,,,,,1.0,,,,,,,,
5363,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Universidad Nacional Agraria de la Selva (UNAS),,"Comentó que el sector público y privado sostuvieron 2 reuniones para abordar temas relacionados a la Expo Amazónica 2023; en tal sentido, mencionó que en el primer encuentro se acordó cuantificar los emprendimientos distritales de la provincia de Leoncio Prado y apoyarlos en su formalización para su participación en el evento. Finalmente, indicó que en la segunda reunión participaron el responsable de gestión económica del Gobierno Regional Huánuco y representantes de la Universidad Nacional Agraria de la Selva (UNAS), Devida, Proyecto Alianza por la Amazonía – Cedro, Cámara de Comercio de Leoncio Prado, Servicio Nacional de Áreas Naturales Protegidas por el Estado (SERNANP), CITE agroindustrial Huallaga, IIAP y ATFFs Tingo María, quienes acordaron la conformación de varias comisiones técnicas que estarán encargadas de ser base para implementar acciones vinculadas a una temática variada para la Expo Amazónica.",Celeste,Inversión Privada,,,,,,1.0,,,,,,,,
5364,2023-04-24,Ayacucho,Jaime Herrera,Periodista,Frente de Defensa de los Intereses del Distrito de Hermilio Valdizán,,Mencionó que el Frente de Defensa de los Intereses del Distrito de Hermilio Valdizán comunicó que hoy marcharán contra las concesiones mineras de la provincia de Leoncio Prado donde hay 115 concesiones tituladas listas para iniciar sus actividades.,Naranja,Minería,,,,,,1.0,,,,,,,,
