N°,Fecha,Lugar,Actor o grupo social emisor,Institución y Cargo actor o grupo social emisor,Actor o grupo social Involucrado 1,Institución y Cargo actor o grupo social involucrado 1,Acontecimiento,Posición,Área,"Studio 5 – Studio 5 Noticias – Rubén Valdés Alvarado, Paola Reynaga (97.7)",Ondas del Huallaga – Noticiero Ondas del Huallaga - José Carlos Ponce de León(88.9),"Radio Noticias del Perú – Radio Noticias Huánuco Edición Central – Bequer Bejarano, Nuvith Condezo Celis, Juan Malpartida (102.5)","Primer Plano - RNP - Ítalo Guillermo, Silvia Salas (102.5)",Radio Nacional – Cuatro Suyos – Ronald Cáceres / Manuel Bejarano (100.9),Radio Sinaí - Opinión Libre - Jaime Herrera  Echevarria (90.1),Radio Rumba Perú - RTL Noticias - Koko Giles/ Juan Manuel (95.3),Radio Pulsar - El Informante - Miguel Angel Domínguez (100.5),Radio Llata - Punto de Encuentro - Carlos Chavez Firma(92.3),Radio Paraiso 96.9 - Aires de Tradición Andina - Hector Facundo Damazo,Panorama Cultural Oyonense - Maximo Samaniego - Radio Oyon (102.5),Noticiero Musical - Hector Facundo Damazo - Radio Sol - Oyon,Radio La Altura 7-9am,Radio UNHEVAL – Noticiero (96.1)
349,2022-06-22,Ayacucho,Miguel Ángel Meza Malpartida,Alcalde de la provincia de Leoncio Prado,,,"Pidió que el gobierno nacional por parte de Provías Nacional mande una licitación por el mantenimiento de la carretera central de Pasco a Tingo María, la cual requiere un mantenimiento periódico, la actual empresa encargada del trabajo termina su labor la siguiente semana.",Gris,Infraestructura,,,,,,,,,,,,,,1.0
350,2022-06-22,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,"Mencionó que Pedro Castillo manifestó que declarará por la investigación de la fiscalía ante el Congreso este 27 de junio, día del paro indefinido de los transportistas.",Gris,Política,,,,,,1.0,1,,,,,,,
351,2022-06-22,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,Comentó que presidenta del Congreso María del Carmen Alva dijo que Pedro Castillo debe ponerse la mano al pecho y renunciar al cargo. (Crítica al presidente Castillo),Celeste,Política,,,,,,,1,,,,,,,1.0
352,2022-06-22,Ayacucho,Periodista,,María del Carmen Alva,Presidenta del Congreso de la República,"Señaló que la presidenta del Congreso María del Carmen Alva firmó en el Cusco autógrafa de ley que descentraliza la contratación de publicidad estatal, beneficiando a la totalidad de medios locales y regionales, disminuyendo el poder de los medios nacionales.",Gris,Medios de Comunicación,,,,,,1.0,1,,,,,,,1.0
353,2022-06-22,Ayacucho,Periodista,,Ministerio de Salud,,Indicó que el Ministerio de Salud comunicó que cuarta ola de coronavirus podría iniciar en la quincena de julio y que los casos de Covid-19 están aumentando.,Gris,Salud,,,,,,,1,,,,,,,
354,2022-06-22,Ayacucho,Periodista,,,,"Informó que el equipo de la UNHEVAL no pudo contra el equipo de Pillco Marca, mientras que San Luis de Amarilis logró empatar de San Pablo de Pillao, por la Copa Perú.",Gris,Deporte,,,1.0,,,1.0,,,,,,,,1.0
355,2022-06-22,Ayacucho,Periodista,,David Antonio Herrera Yumpe,Alcalde de la provincia de Ambo,"Mencionó que el alcalde de la provincia de Ambo, David Antonio Herrera Yumpe, dilató sesión para su suspensión hasta el 8 de agosto.",Gris,Gobierno Locales,1.0,,1.0,,,1.0,,,,,,,,1.0
356,2022-06-22,Ayacucho,Periodista,,,,"Comentó que en las próximas elecciones el pueblo de Huánuco debe demostrar su poder y castigar a los corruptos no eligiéndolos, labor que debe replicarse cuando se tenga nuevas autoridades, porque la región ya no puede tolerar más retraso, que ciertos lugares tengan agua de mala calidad, o agricultores olvidados.",Gris,Política,1.0,,1.0,,,,,,,,,,,
357,2022-06-22,Ayacucho,Horacio Cotrina,Fiscalizador de la empresa Emapa San Luis,SEDA Huánuco,,"Sobre la falta de agua en el asentamiento humano San Luis, indicó que esto se debe a las deficiencias de la infraestructura hídrica del lugar y gracias al no apoyo de los exalcaldes del distrito de Amarilis, provincial y gobernador regional. Señaló que el agua de San Luis es la única que puede solucionar los problemas de Huánuco, pero como se trata de una empresa del pueblo, nadie apoya ni quiere aportar económicamente para desarrollar la obra, todos quieren que SEDA Huánuco sea el que solucione las cosas. Mencionó que el agua de San Luis trae agua de laguna, por gravedad, mientras que SEDA Huánuco utiliza agua de bombeo y este proceso es más caro.",Gris,Agua,1.0,,1.0,,,,,,,,,,,
358,2022-06-22,Ayacucho,Eustasio Robles,Abogado,,,"Señaló que se debe ajustar la normatividad para no permitir que alcaldes como el de Ambo, pese a estar sentenciado, continúen en el cargo y se avalen de la ley orgánica de municipalidades para que en agosto se vea su caso a través de un consejo municipal. Indicó que cuando un alcalde es sentenciado, lo que procede es la vacancia, que debe ser efectuada por los regidores o vecinos, en este caso de Ambo. ",Gris,Gobierno Locales,,,1.0,,,,,,,,,,,
359,2022-06-22,Ayacucho,Armando Matos,Secretario regional del SUTEP Huánuco,Pedro Castillo,Presidente de la República,"Señaló que no fue tanto la voluntad de Pedro Castillo en transferir el bono de escolaridad en favor de los maestros de la ley magisterial, esta transferencia a sido gracias a la exigencia del sindicato, de los cuales algunos no lo recibirán por fallecer por Covid-19, pero gracias a su esfuerzo se pudo conseguir el bono y garantizar la continuidad de la educación en el país.",Gris,Educación,,,1.0,,,,,,,,,,,
360,2022-06-22,Ayacucho,Jaime Roque Anahua,Jefe del programa Juntos,,,"Señaló que el programa Juntos busca brindar atención económica a apersonas en situación de vulnerabilidad, exclusión o extrema pobreza principalmente en las regiones más afectadas del país, incluyendo Huánuco. Los pagos se realizan en el Banco de la Nación.",Gris,Economía,,,,,1,,,,,,,,,
361,2022-06-23,Ayacucho,Periodista,,Jurado Nacional de Elecciones (JNE),,Informó que el Jurado Nacional de Elecciones (JNE) declaró infundada la apelación que presentó Juan Alvarado Cornelio contra el acuerdo de Consejo Regional de Huánuco que lo suspende en el cargo de gobernador regional.,Gris,Política,,1.0,1.0,,,1.0,1,,,,,,,1.0
362,2022-06-23,Ayacucho,Periodista,,,,Mencionó que los transportistas de carga pesada anunciaron que realizarán un paro indefinido este lunes 27 de junio hasta que firmen un decreto supremo o la ley que les corresponde.,Gris,Paro,,1.0,1.0,,,1.0,1,,,,,,,1.0
363,2022-06-23,Ayacucho,Periodista,,Municipalidad Provincial de Huánuco,,"Informó que la Municipalidad Provincial de Huánuco está en incapacidad de gasto, porque hasta la fecha la comuna está en el 31% de gasto de avance de su presupuesto 2022.",Gris,Presupuesto,,1.0,1.0,,,1.0,,,,,,,,
364,2022-06-23,Ayacucho,Periodista,,,,"Lamentó que la ciudad de Huánuco tenga un hospital que no esté acondicionado para tolerar la lluvia y tenga un pésimo sistema eléctrico, tenga un drenaje desastroso donde se acumula basura, se tenga colegios que aún no se terminan en construir, y algunos proyectos estén paralizados, gracias a una gestión de Juan Alvarado envuelta en corrupción y continúa afectando la región.",Gris,Infraestructura,,1.0,,,,,,,,,,,,
365,2022-06-23,Ayacucho,Periodista,,,,"Informó que este 1 de julio se llevará a cabo la diligencia de desalojo contra la Clínica Bolívar en la ciudad de Huánuco, establecimiento que habría tenido buen padrinazgo de las autoridades de turno.",Gris,Sociedad,,1.0,,,,,,,,,,,,
366,2022-06-23,Ayacucho,Gerónimo Baylón,Abogado,Juan Alvarado Cornelio,Exgobernador regional de Huánuco,"Comentó que Juan Alvarado ya no volverá al cargo luego que el Jurado Nacional de Elecciones (JNE) declarase infundado la apelación contra el acuerdo que lo suspendió; sin embargo, señaló que en el Gobierno Regional de Huánuco aún quedan algunos allegados al exgobernador que no cumplen con el perfil para el cargo, encima estos personajes intentaron dilatar el caso del exgobernador.",Gris,Política,,1.0,,,,,,,,,,,,
367,2022-06-23,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,"Preguntó quién puede justificar que el actual gobierno de Pedro Castillo es un buen gobierno, cuando en muchas provincias y regiones están pasando hambre, hay cero desarrollo, se tiene a un desgobierno que está metido en corrupción, la misma gente ligado a Pedro Castillo está involucrado en temas de corrupción, la población está cansada del sistema de gobierno que no sabe manejar al país. Asímismo, señaló que desde hace años existe un compromiso de las empresas mineras en pagar los impuestos que corresponden, y señaló que es lamentable que gracias al actual gobierno se ha permitido en no apoyar a empresas mineras que están produciendo como Las Bambas, sin justificación. (A favor de las empresas mineras)",Celeste,Gobierno Central,,,,,,1.0,,,,,,,,
368,2022-06-23,Ayacucho,Periodista,,Ministerio de Desarrollo Agrario y Riego,,"Informó que el Ministerio de Desarrollo Agrario y Riego confirmó anulación de licitación realizada por AGRO RURAL, de esta manera, nuevamente los agricultores del país y Huánuco fueron engañados por Pedro Castillo que les prometió fertilizantes.",Gris,Agropecuario,,,,,,1.0,1,,,,,,,
369,2022-06-23,Ayacucho,Periodista,,,,Mencionó que Global Petrol señaló que Perú es el país en el cual se compra la gasolina más cara de Latinoamérica con 6 dólares por galón. ,Gris,Energía,,,,,,1.0,1,,,,,,,
370,2022-06-23,Ayacucho,Periodista,,Guillermo Bermejo,Congresista de la República,Señaló que amigo del congresista Guillermo Bermejo se benefició de contratos en el Ministerio de Energía y Minas por más de 40 mil soles.,Gris,Corrupción,,,,,,1.0,1,,,,,,,
371,2022-06-23,Ayacucho,Periodista,,Contraloría General de la República,,Indicó que no llegarán los fertilizantes adquiridos por el gobierno debido a que Contraloría alertó irregularidades en licitación que ganó la brasileña MF fertilizantes.,Gris,Agropecuario,,,,,,1.0,1,,,,,,,
372,2022-06-23,Ayacucho,Periodista,,Juan Silva,Exministro de Transportes y Comunicaciones,"Comentó que Juan Silva habría solicitado un puesto a alguien que trabajo en la campaña electoral en favor de Pedro Castillo. Al respecto, mencionó que Bruno Pacheco y Silva siguen prófugos, y de ser capturados, sería peligroso para Castillo cuyo gobierno se vendría abajo.",Gris,Gobierno Central,1.0,,,,,1.0,1,,,,,,,
373,2022-06-23,Ayacucho,Periodista,,Martín Vizcarra,Expresidente de la República,"Informó que, durante el gobierno de Martín Vizcarra, constructoras chinas ganaron irregulares licitaciones en obras pese a crisis económica por la pandemia de coronavirus.",Gris,Corrupción,,,,,,1.0,1,,,,,,,
374,2022-06-23,Ayacucho,Periodista,,Municipalidad Distrital de Amarilis,,Mencionó que la Municipalidad Distrital de Amarilis desembolsó 37 mil soles en apoyo a heladero que sufrió quemaduras y se encuentra en Lima.,Gris,Municipalidad,,,,,,1.0,,,,,,,,
375,2022-06-23,Ayacucho,Periodista,,Municipalidad Provincial de Huánuco,,Señaló que Municipalidad Provincial de Huánuco señaló que para diciembre la región llegará a más del 90% del gasto presupuestal.,Gris,Municipalidad,1.0,,,,,1.0,,,,,,,,
376,2022-06-23,Ayacucho,David Enrique Carrión,Corresponsal de Sinaí Radio,Pedro Castillo,Presidente de la República,"Señaló que a Pedro Castillo no lo reconocen ni en su pueblo, donde no hizo ninguna obra, los pobladores están molestos con el mandatario porque este les prometió de todo, igual a los transportistas, pero de todos ellos se olvidó, y ahora este lunes habrá un nuevo paro nacional, porque se evidencia que no se avanzó ni mejoró en nada, como tampoco se mejoró en el profesorado, pareciera que Pedro Castillo no conoce el interior del país donde no hay ningún resultado, como por ejemplo la provincia de Puerto Inca que está olvidado por el gobierno regional y nacional, incluso por el mismo alcalde. (Dura crítica contra Pedro Castillo)",Celeste,Gobierno Central,,,,,,1.0,,,,,,,,
377,2022-06-23,Ayacucho,Periodista,,,,"Comentó que a fines de julio concluirá el contrato de mantenimiento de la carretera central a cargo de la empresa Mota, para dejar un mal gusto a varias municipalidades que tuvieron que apoyar con maquinaria en las labores.",Gris,Infraestructura,,,,,,,,,,,,,,1.0
378,2022-06-23,Ayacucho,Periodista,,Jhon Álvarez,Gerente de Infraestructura de Huánuco,"Informó que el gerente de Infraestructura de Huánuco, Jhon Álvarez, manifestó que se retomaron los trabajos en 24 obras que estuvieron paralizadas y si todo va bien en agosto se ejecutaría un par de obras más.",Gris,Infraestructura,1.0,,,,,,,,,,,,,1.0
379,2022-06-23,Ayacucho,Periodista,,Gobierno Regional de Huánuco,,Indicó que obreros de construcción civil manifestaron que iniciarán una marcha si es que el Gobierno Regional de Huánuco no cumple con el 40% de cuota laboral a los sindicatos de construcción civil.,Gris,Trabajo,1.0,,,,,,,,,,,,,1.0
380,2022-06-23,Ayacucho,Javier Marchese,Presidente de la Unión Nacional de Transportistas de Carga Pesada (UNT),Ministerio de Transportes y Comunicaciones,,"Manifestó que el paro indefinido de transportistas se debe a que son varios meses que es estuvo dialogando con el gobierno, el cual firmó actas que no ha cumplido y este último mes se estuvo conversando con el Ministerio de Transportes y Comunicaciones, pero ninguna propuesta de solución se brindó, además, mencionó que el actual gobierno no le da interés a los conflictos sociales, como es el caso de Las Bambas y Southern Peru, entonces se entiende que el gobierno no querrá solucionar el problema de los transportistas.  (Crítica a Pedro Castillo y mensaje en favor de las empresas mineras)",Celeste,Paro,,,,,,,1,,,,,,,
381,2022-06-23,Ayacucho,Periodista,,Joel Cruz,Alcalde del distrito de San Rafael,"Comentó que en redes sociales le están dando con todo a Joel Cruz, alcalde del distrito de San Rafael, por la posible traición que habría cometido al estar junto a “Koko” Giles y Edison Díaz, según una foto que circula por redes sociales; además, recordó que Joel Cruz ya no podría postular debido a que el Jurado Nacional de Elecciones declaró improcedente su postulación a la alcaldía provincial de Huánuco. Señaló que el más vivo en este caso sería Koko Giles, quien se estaría aprovechando de la coyuntura para generar especulaciones y comentarios.",Gris,Política,,,1.0,,,,,,,,,,,
382,2022-06-23,Ayacucho,Periodista,,Kenji Fujimori,Lideresa de Fuerza Popular,"Indicó que la Sala Penal de la Corte Suprema de Justicia reinició juicio oral contra los excongresistas Kenji Fujimori y Guillermo Bocangel, en el marco del caso “Mamanivideos”.",Gris,Judicial,1.0,,1.0,,,,,,,,,,,
383,2022-06-23,Ayacucho,Periodista,,,,Lamentó que la Dirección Regional de Turismo de Huánuco poco o nada hace para promocionar las actividades de importancia turística que se desarrollarán en junio y julio.,Gris,Turismo,,,1.0,,,,,,,,,,,
384,2022-06-23,Ayacucho,Wilber Inchaustegui,Analista político,Joel Cruz,Alcalde del distrito de San Rafael,"Comentó que cuando uno es alcalde de una provincia o distrito, se está señalando el domicilio real y centro de trabajo, no se puede tener doble residencia cuando se es autoridad, y en ese caso falló a Joel Cruz, alcalde del distrito de San Rafael, quien pretendía postular a la alcaldía provincial de Huánuco.",Gris,Política,,,1.0,,,,,,,,,,,
385,2022-06-23,Ayacucho,Fredy Rojas Cervantes,Abogado,Joel Cruz,Alcalde del distrito de San Rafael,"Señaló que Joel Cruz no ha tenido asesores a su lado, y lamentablemente su candidatura a la alcaldía provincial de Huánuco fue descartada y no podría argumentar en la apelación, el señor no tenía domicilio en la ciudad de Huánuco o alguna propiedad, ante estos hechos es difícil que pueda haber una apelación en favor del candidato.",Gris,Política,,,1.0,,,,,,,,,,,
386,2022-06-23,Ayacucho,Henry Cuadros,Periodistas,,,"Indicó que en la selva existen personas narco terroristas que construyen pistas de aterrizaje clandestinas para transportar droga con destino a Bolivia. En ese sentido, solicitó que se intensifiquen los operativos que ya se están dando para luchar contra el narcotráfico.",Gris,Delincuencia,,,,,1,,,,,,,,,
387,2022-06-23,Ayacucho,Patricia Ocampo,Directora de Pesca Artesanal del Ministerio de la Producción,,,Declaró que motivará a los pescadores a vender sus productos en ferias directas al público para que los intermediarios no se aprovechen de la ganancia. Por ello se impulsará el programa ''a comer pesado'' beneficiando también a la sierra del país.,Gris,Agropecuario,,,,,1,,,,,,,,,
388,2022-06-24,Ayacucho,Periodista,,,,"Informó que este 24 se celebra el Día del Campesino, igualmente este fin de semana se desarrollarán actividades por la Fiesta de San Juan, por lo que habrá actividad económica importante para Huánuco, permitiendo el desarrollo de los comercios locales y emprendimientos.",Celeste,Agropecuario,,1.0,1.0,,,1.0,1,,,,,,,1.0
389,2022-06-24,Ayacucho,Periodista,,,,"Mencionó que el Gobierno Regional Huánuco y el Ministerio de Cultura iniciaron el saneamiento físico legal del centro arqueológico de Huanacaure, en la provincia de Huánuco.",Gris,Gobierno Regional,,1.0,1.0,,,1.0,1,,,,,,,1.0
390,2022-06-24,Ayacucho,Periodista,,,,Mencionó que la Contraloría General de la República señaló que hubo pagos irregulares en la Red de Salud Huánuco. ,Gris,Salud,1.0,,1.0,,,1.0,1,,,,,,,
391,2022-06-24,Ayacucho,Periodista,,,,"Comentó que Huánuco en el tema agrario se está muy lejos porque aún faltan canales, mejores sistemas de riego, mejor infraestructura, pese a que la región tiene todo para alcanzar el desarrollo.",Gris,Agropecuario,,1.0,,,,,,,,,,,,
392,2022-06-24,Ayacucho,Gamaniel Rojas Laurente,Corresponsal de Ondas del Huallaga,,,"Comentó que en la provincia de Leoncio Prado todos los alcaldes habilitaron áreas de esparcimiento y zonas de visita por la fiesta de San Juan, lo cual ayudará económicamente a los vecinos de los distritos, principalmente Tingo María.",Celeste,Turismo,,1.0,,,,,,,,,,,,
393,2022-06-24,Ayacucho,Mauro Quispe,Corresponsal de Ondas del Huallaga,,,"Desde la provincia de Pachitea, lamentó que el Gobierno Regional de Huánuco no se preocupe por el desarrollo de la agricultura en la provincia, donde los agricultores no tienen nada que celebrar en el día del campesino que sigue sufriendo el abandono por parte del gobierno central y regional.",Gris,Gobierno Regional,,1.0,,,,,,,,,,,,
394,2022-06-24,Ayacucho,Kenny Rosado Salazar,Corresponsal de Ondas del Huallaga,,,"Desde la provincia de Dos de Mayo, señaló que en el distrito de Marías se viene desarrollando actividades por el Día del Campesino, además de fiestas andinas y recorridos turísticos por las principales zonas arqueológicas del lugar.",Gris,Turismo,,1.0,,,,,,,,,,,,
395,2022-06-24,Ayacucho,Periodista,,,,"Comentó que la Comisión Nacional para el Desarrollo y Vida sin Drogas (Devida) viene reforzando la actividad apícola en las provincias de Huánuco, Leoncio Prado, Huamalíes y Marañón, con participación de 400 familias en 87 comunidades.",Gris,Desarrollo productivo,,,,,,1.0,,,,,,,,
396,2022-06-24,Ayacucho,Periodista,,,,Mencionó que se declaró infundado el recurso de casación presentado por la Fiscalía para dejar sin efecto la resolución que dispuso la anulación de la prisión preventiva contra Keiko Fujimori.,Gris,Judicial,1.0,,,,,1.0,,,,,,,,
397,2022-06-24,Ayacucho,Periodista,,,,Indicó que la Corte Suprema rechazó el pedido realizado por el presidente Pedro Castillo para ser excluido de la investigación preliminar que le realiza la Fiscalía de la Nación por el caso ‘Provias Descentralizado-Puente Tarata’.,Gris,Judicial,1.0,,,,,1.0,,,,,,,,
398,2022-06-24,Ayacucho,Periodista,,,,Señaló que el ingeniero agrónomo Alejandro Mendoza afirmó que ante la difícil situación que vive el sector agrícola en Huánuco es necesario que se impulsen políticas regionales que ayuden atender las principales necesidades de los campesinos.,Gris,Agropecuario,,,,,,1.0,,,,,,,,
399,2022-06-24,Ayacucho,Pepe Pajuelo,Corresponsal de Sinaí Radio,,,"Espera que el gobernador Erasmo Fernández gaste todo el dinero del presupuesto y este ayude a mejorar la agricultura, porque del gobierno central solo se tiene indiferencia para el campesino.",Gris,Gobierno Regional,,,,,,1.0,,,,,,,,
400,2022-06-24,Ayacucho,Periodista,,,,"Informó que este 27 de junio los transportistas acatarán un paro nacional en diferentes partes del país, afectando también a la región de Huánuco donde los precios de los principales productos aumentarán.",Gris,Paro,,,,,,,,,,,,,,1.0
401,2022-06-24,Ayacucho,Periodista,,,,Mencionó que el Jurado Nacional de Elecciones (JNE) ratificó suspensión de Juan Alvarado como gobernador regional de Huánuco tras declarar infundada su apelación.,Gris,Política,,,,,,,,,,,,,,1.0
402,2022-06-24,Ayacucho,Periodista,,,,"Indicó que el Poder Judicial dio vía libre a fiscalía para investigar a Pedro Castillo quien deberá declarar, pero apelará, en el marco del caso puente Tarata.",Gris,Gobierno Central,1.0,,,,,,1,,,,,,,
403,2022-06-24,Ayacucho,Periodista,,,,"Señaló que el paro de transportistas para este 27 de junio sigue en pie, debido a que aún no hay acuerdo entre los transportistas y el Ministerio de Transportes y Comunicaciones.",Gris,Paro,,,,,,,1,,,,,,,
404,2022-06-24,Ayacucho,Periodista,,,,Comentó que organizaciones agrarias evalúan paro nacional por incumplimientos del gobierno y falsas promesas con la segunda reforma agraria.,Gris,Agropecuario,,,,,,,1,,,,,,,
405,2022-06-24,Ayacucho,Periodista,,,,Informó que el gobernador regional de Huánuco Erasmo Fernández espera que el Jurado Nacional de Elecciones (JNE) lo convoque para acreditarlo como gobernador para continuar con los proyectos.,Gris,Gobierno Regional,,,1.0,,,,,,,,,,,
406,2022-06-24,Ayacucho,Periodista,,,,"Señaló que Joel Cruz anunció que apelará resolución que declara improcedente su inscripción como candidato a la alcaldía provincial de Huánuco, y rechazó vínculo con “Koko” Giles.",Gris,Política,,,1.0,,,,,,,,,,,
407,2022-06-24,Ayacucho,Rosalí Leandro Tarazona,Candidato a gobernador regional de Huánuco por Avanza País,,,"Manifestó que Avanza País sigue en marcha, ciertamente en algunas partes del país algunos candidatos fueron sacados de carrera, pero en el caso para el cargo de gobernadores todo está en norma. Señaló que hay candidatos que tienen bastante dinero y están afanados en manchar la imagen de otro candidato, pero está seguro que Joel Cruz será candidato para la alcaldía provincial de Huánuco.",Gris,Política,1.0,,1.0,,,,,,,,,,,
408,2022-06-24,Ayacucho,Robinson Aguirre,Excandidato al Gobierno Regional de Huánuco,,,"Comentó que por el tema paridad entre hombres y mujeres, varios posibles candidatos quedaron fuera de carrera electoral, entre ellos su persona, quedando fuera para el cargo de gobernador regional.",Gris,Política,1.0,,1.0,,,,,,,,,,,
409,2022-06-24,Ayacucho,John Gonzales,Presidente de la Cámara de Comercio de Cusco,,,"Resaltó que la fiesta del Inti Raymi coincidió con la fecha del Corpus Christi lo que ayudó a impulsar el turismo en beneficio del desarrollo de los emprendimientos locales. Indicó que los restaurantes, hoteles y comercios de artesanías son los más beneficiados.",Gris,Turismo,,,,,1,,,,,,,,,
410,2022-06-24,Ayacucho,Vecino,,,,Reclamó a las autoridades trabajar para disminuir la anemia. Indicó que un país tan rico no puede sufrir de anemia.,Gris,Salud,,,,,1,,,,,,,,,
411,2022-06-27,Ayacucho,Periodista,,Gobierno Regional de Huánuco,,"Comentó que el presupuesto que tiene el Gobierno Regional de Huánuco en este último año de gestión debe priorizarse en el sector salud y en la gestión del riesgo de desastres, debido al abrupto cambio de clima en la región. Recomendó hacer talleres de prevención para que la población sepa afrontar el cambio climático, iniciativa que debe venir de los gobiernos locales y regional. ",Gris,Presupuesto,,1.0,,,,,,,,,,,,
412,2022-06-27,Ayacucho,Periodista,,Universidad César Vallejo,,"Mencionó que la Universidad César Vallejo remitió un documento a la SUNEDU en el que se confirma el plagio en la tesis de maestría del presidente de la República, Pedro Castillo y la primera dama, Lilia Paredes.",Gris,Gobierno Central,1.0,1.0,,,,,,,,,,,,
413,2022-06-27,Ayacucho,Periodista,,Jurado Electoral Especial (JEE),,"Informó que el Jurado Electoral Especial (JEE) de Huánuco declaró improcedente a inscripción a cuatro listas de candidatos a la alcaldía distrital de Amarilis, y otras cuatro para la alcaldía provincial de Huánuco.",Gris,Política,1.0,1.0,,,,,,,,,,,,
414,2022-06-27,Ayacucho,Gamaniel Rojas Laurente,Corresponsal de Ondas del Huallaga,,,"Desde la provincia de Leoncio Prado, comentó que el alcalde de la provincia convocó este domingo 26 a todos los alcaldes distritales de Leoncio Prado para acordar realizar este 30 de junio una mesa de trabajo, pero lamentó que los alcaldes no participaran este domingo porque muchos están en campaña; pese a ello, indicó que el alcalde provincial pudo coordinar con los dirigentes la agenda a desarrollarse en la mesa de trabajo. Mencionó que una de las agendas principales es habilitar la lucha contra el narcotráfico en la provincia de Leoncio Prado y el distrito de Monzón, a través de la eliminación del cultivo de coca.",Gris,Gobierno Locales,1.0,1.0,,,,,,,,,,,,
415,2022-06-27,Ayacucho,Kenny Rosado Salazar,Corresponsal de Ondas del Huallaga,Gobierno Regional de Huánuco,,"Desde la provincia de Dos de mayo, informó que decenas de personas realizaron un plantón en el puente Cáceres exigiendo la protección de la histórica infraestructura; ante tal hecho, mencionó que el Gobierno Regional de Huánuco ya envió maquinaria para salvar el puente.",Gris,Gobierno Regional,,1.0,,,,,,,,,,,,
416,2022-06-27,Ayacucho,Periodista,,Erasmo Fernández Sixto,Gobernador regional de Huánuco,"Indicó que el gobernador regional de Huánuco, Erasmo Fernández Sixto, entregó más de trescientos títulos de propiedad a agricultores de la provincia de Puerto Inca.",Gris,Vivienda,,,,,,,,,,,,,,1.0
417,2022-06-27,Ayacucho,Periodista,,,,"Mencionó que a las 5 de la mañana en el puente Las Moras, ciudad de Huánuco, este fue bloqueado por llantas a las que prendieron fuego, pero inmediatamente la policía despejó el puente.",Gris,Transporte,,,,,,,,,,,,,,1.0
418,2022-06-27,Ayacucho,Periodista,,Edgar Tello Tapia,Gerente de Sostenibilidad Ambiental,"Informó que más de 150 plantones frutales y forestales fueron sembrados en lo que va del año en Huánuco, explicó el gerente de Sostenibilidad Ambiental, Edgar Tello Tapia.",Gris,Agropecuario,,,,,,,,,,,,,,1.0
419,2022-06-27,Ayacucho,Periodista,,Ministerio de Transportes y Comunicaciones,,"Indicó que, a través de Provías Nacional, el Ministerio de Transportes y Comunicaciones mejorará la carretera Oxapampa-Pozuzo-Codo de Pozuzo, que une Pasco y Huánuco.",Gris,Transporte,,,,,,,,,,,,,,1.0
420,2022-06-27,Ayacucho,Periodista,,,,Informó que el gobierno suspendió clases este 27 y 28 de junio por paro de transportistas que acatarán esta medida por desacuerdos con el Estado.,Gris,Paro,1.0,,,,,,1,,,,,,,
421,2022-06-27,Ayacucho,Periodista,,Pedro Castillo,Presidente de la República,Mencionó que el sobrino de Pedro Castillo tenía bastante comunicación con Juan Silva y otros exministros.,Gris,Corrupción,,,,,,,1,,,,,,,
422,2022-06-27,Ayacucho,Periodista,,,,Indicó que audios evidencian presunta coima en licitación de AGRO RURAL respecto a la compra de fertilizantes. ,Gris,Agropecuario,,,,,,,1,,,,,,,
423,2022-06-27,Ayacucho,Periodista,,Jorge López,Ministro de Salud,"Informó que el ministro de Salud, Jorge López, confirmó que inició la cuarta ola de la pandemia de la Covid-19 en el país.",Gris,Salud,,,,,,,1,,,,,,,
424,2022-06-27,Ayacucho,Marino Flores,Vocero de gremios agrarios,,,"Manifestó que 18 gremios a nivel nacional entrarán en paralización este lunes y martes, siendo su agenda la segunda reforma agraria, la asamblea constituyente, el cierre del Congreso y el problema de los fertilizantes.",Gris,Paro,1.0,,,,,,1,,,,,,,
425,2022-06-27,Ayacucho,Edith Ramírez,Prefecta regional de Huánuco,,,"Sobre el paro de transportistas, informó que desde este domingo todo está con normalidad en Huánuco, salvo esta mañana que hubo un pequeño incidente en la zona de Huancachupa donde un grupo de personas querían tomar la vía, pero a tiempo llegaron efectivos de la policía.",Gris,Paro,,,,,,,1,,,,,,,
426,2022-06-27,Ayacucho,Periodista,,,,"Señaló que en algunas personas tratarán de atentar contra la tranquilidad pública aprovechando el paro de transportistas, situación que será diferente en la ciudad de Huánuco donde los dirigentes de transporte urbano anunciaron que la gente de Lima no les comunicó nada, por lo que laborarán con normalidad; sin embargo, mencionó que en el puente Las Moras aisladamente un grupo de personas de mal vivir habrían colocado llantas.",Gris,Paro,,,1.0,,,,,,,,,,,
427,2022-06-27,Ayacucho,Periodista,,Municipalidad Distrital de Amarilis,,Informó que declararon improcedente la candidatura de Vilma Bara a la Municipalidad Distrital de Amarilis porque no subsanó irregularidades.,Gris,Política,,,1.0,,,,,,,,,,,
428,2022-06-27,Ayacucho,Periodista,,,,"Señaló que el abogado de “Koko” Giles, Fernando Corcino, faltó a la audiencia contra el exalcalde porque había sido invitado a Qatar por la Federación Peruana de Fútbol. ",Gris,Judicial,,,1.0,,,,,,,,,,,
